customer_id,age,tenure,monthly_charges,total_charges,contract,internet_service,payment_method,support_tickets,tech_support,senior_citizen,partner,dependents,churn
CUST_000027,40,19,63.49,1089.41,Two year,DSL,Electronic check,4,No,0,Yes,Yes,0
CUST_000028,64,7,52.21,392.02,Month-to-month,Fiber optic,Electronic check,2,No,0,Yes,No,0
CUST_000029,49,51,79.2,3859.54,Two year,Fiber optic,Bank transfer,1,No,0,Yes,Yes,0
CUST_000030,43,17,22.55,390.39,One year,Fiber optic,Electronic check,2,Yes,0,Yes,Yes,0
CUST_000031,43,23,20.75,473.65,One year,No,Electronic check,3,Yes,0,Yes,Yes,0
CUST_000032,30,61,105.16,5913.29,One year,Fiber optic,Mailed check,3,No,0,Yes,No,0
CUST_000033,23,26,24.64,581.12,One year,DSL,Bank transfer,1,Yes,0,No,No,0
CUST_000034,49,11,72.48,867.69,Month-to-month,DSL,Electronic check,6,No,1,Yes,No,0
CUST_000035,68,2,81.5,158.5,Two year,No,Bank transfer,3,Yes,0,Yes,No,0
CUST_000036,21,17,39.82,651.78,Two year,DSL,Mailed check,2,Yes,0,No,No,0
CUST_000037,66,66,109.57,6631.36,Two year,No,Mailed check,1,Yes,0,No,Yes,0
CUST_000038,65,40,39.01,1405.25,One year,DSL,Mailed check,4,No,0,Yes,No,1
CUST_000039,33,72,108.45,8157.97,Month-to-month,Fiber optic,Electronic check,1,No,0,No,Yes,0
CUST_000040,54,16,96.3,1659.95,Month-to-month,No,Electronic check,3,Yes,0,Yes,Yes,1
CUST_000041,27,26,44.07,1089.6,Month-to-month,Fiber optic,Credit card,3,No,0,No,No,0
CUST_000042,61,12,35.07,416.4,Month-to-month,No,Electronic check,5,Yes,0,No,Yes,0
CUST_000043,57,29,51.62,1533.11,One year,DSL,Credit card,4,Yes,0,Yes,Yes,0
CUST_000044,38,41,59.8,2288.5,One year,Fiber optic,Electronic check,3,No,0,Yes,No,0
CUST_000045,21,59,44.58,2561.98,Month-to-month,Fiber optic,Mailed check,1,No,0,No,Yes,0
CUST_000046,73,27,119.89,3230.24,Month-to-month,No,Bank transfer,2,No,0,No,Yes,1
CUST_000047,43,56,42.97,2475.89,One year,DSL,Credit card,1,No,0,No,No,0
CUST_000048,68,46,103.06,5197.75,Month-to-month,DSL,Electronic check,0,No,0,Yes,Yes,0
CUST_000049,56,22,35.91,789.53,Two year,Fiber optic,Electronic check,4,No,0,Yes,No,0
CUST_000050,62,66,118.02,7411.08,One year,No,Bank transfer,4,Yes,0,No,No,1
CUST_000051,61,32,42.55,1403.37,Month-to-month,No,Electronic check,1,No,0,Yes,No,0
CUST_000052,29,11,62.17,631.18,Month-to-month,No,Bank transfer,3,No,0,Yes,Yes,1
CUST_000053,38,70,75.86,4785.13,One year,Fiber optic,Credit card,2,Yes,0,Yes,Yes,0
CUST_000054,44,66,32.03,2061.62,Month-to-month,Fiber optic,Electronic check,2,Yes,1,Yes,No,0
CUST_000055,46,4,101.68,371.71,Two year,No,Credit card,1,No,0,Yes,Yes,1
CUST_000056,20,65,47.47,3071.55,Month-to-month,No,Electronic check,3,No,0,No,Yes,0
CUST_000057,49,69,74.93,4991.09,Month-to-month,No,Credit card,3,Yes,0,Yes,Yes,0
CUST_000058,26,60,74.96,4852.2,Month-to-month,No,Credit card,0,Yes,0,Yes,No,0
CUST_000059,60,19,80.26,1426.84,One year,No,Bank transfer,3,No,0,No,No,1
CUST_000060,56,46,25.55,1220.84,Two year,DSL,Credit card,2,No,0,No,Yes,0
CUST_000061,70,39,36.86,1475.36,Two year,DSL,Credit card,1,No,0,No,Yes,0
CUST_000062,60,45,36.12,1786.36,Month-to-month,No,Electronic check,4,No,0,No,No,1
CUST_000063,38,45,50.21,2290.6,Two year,Fiber optic,Electronic check,4,No,0,Yes,Yes,0
CUST_000064,73,47,34.49,1720.65,Month-to-month,DSL,Electronic check,3,Yes,0,No,No,0
CUST_000065,41,38,112.19,4136.38,One year,Fiber optic,Mailed check,0,Yes,1,No,No,0
CUST_000066,36,50,71.3,3259.98,Two year,Fiber optic,Bank transfer,3,Yes,0,Yes,No,1
CUST_000067,69,38,82.36,3069.9,Month-to-month,No,Mailed check,2,No,0,No,Yes,1
CUST_000068,39,2,55.75,115.35,Two year,No,Bank transfer,3,No,0,No,No,0
CUST_000069,22,3,47.62,135.84,Month-to-month,DSL,Mailed check,2,No,1,No,Yes,1
CUST_000070,44,69,70.32,4501.5,Month-to-month,Fiber optic,Electronic check,4,No,0,No,No,0
CUST_000071,63,66,49.43,3004.55,Month-to-month,DSL,Electronic check,2,No,0,No,No,0
CUST_000072,28,43,54.36,2351.01,Two year,No,Credit card,4,Yes,0,Yes,No,0
CUST_000073,44,13,65.28,820.63,Month-to-month,DSL,Electronic check,1,Yes,0,No,No,0
CUST_000074,25,57,70.57,4234.79,Two year,Fiber optic,Electronic check,3,No,1,Yes,No,1
CUST_000075,57,11,118.43,1338.91,Month-to-month,Fiber optic,Electronic check,5,No,0,No,Yes,1
CUST_000076,45,28,42.33,1289.02,One year,Fiber optic,Credit card,1,No,0,Yes,No,0
CUST_000077,36,24,68.8,1809.77,One year,Fiber optic,Electronic check,0,Yes,0,Yes,No,0
CUST_000078,30,1,34.95,31.46,Month-to-month,Fiber optic,Bank transfer,2,No,0,No,No,0
CUST_000079,50,59,55.0,3073.14,One year,Fiber optic,Electronic check,1,No,0,Yes,No,0
CUST_000080,56,37,91.73,3218.67,One year,DSL,Electronic check,8,Yes,0,No,No,1
CUST_000081,71,23,37.45,926.66,Month-to-month,Fiber optic,Bank transfer,2,No,0,Yes,Yes,1
CUST_000082,42,37,78.14,2678.74,Month-to-month,Fiber optic,Bank transfer,7,No,0,No,No,1
CUST_000083,27,1,61.67,60.65,Month-to-month,DSL,Bank transfer,0,No,0,No,No,0
CUST_000084,65,32,25.16,733.18,Two year,Fiber optic,Electronic check,4,No,0,No,No,0
CUST_000085,53,38,113.31,4286.95,One year,DSL,Credit card,5,No,0,Yes,No,0
CUST_000086,57,25,61.36,1392.39,Two year,No,Bank transfer,1,No,1,No,No,0
CUST_000087,23,60,98.39,6168.59,One year,DSL,Credit card,0,No,1,Yes,No,0
CUST_000088,35,18,61.63,1113.35,Two year,Fiber optic,Electronic check,1,No,0,No,No,0
CUST_000089,61,10,113.74,1250.69,Month-to-month,DSL,Mailed check,3,No,0,No,No,1
CUST_000090,65,38,49.05,2045.18,Month-to-month,Fiber optic,Electronic check,2,No,0,Yes,No,0
CUST_000091,42,64,61.22,4141.03,One year,DSL,Bank transfer,6,No,0,No,No,0
CUST_000092,63,28,95.89,2573.61,Month-to-month,Fiber optic,Bank transfer,2,No,1,Yes,Yes,1
CUST_000093,65,4,54.37,200.61,Month-to-month,DSL,Mailed check,2,No,0,No,No,1
CUST_000094,40,70,56.44,3679.5,One year,Fiber optic,Electronic check,3,Yes,0,Yes,Yes,0
CUST_000095,69,32,119.48,3968.65,Two year,Fiber optic,Electronic check,4,No,0,Yes,No,1
CUST_000096,34,13,75.56,910.45,One year,No,Electronic check,7,Yes,1,Yes,No,0
CUST_000097,31,45,88.94,3829.23,Month-to-month,Fiber optic,Credit card,4,Yes,0,No,No,0
CUST_000098,56,24,84.35,1859.38,Two year,Fiber optic,Electronic check,0,No,1,No,No,1
CUST_000099,54,68,102.79,6362.88,Month-to-month,No,Electronic check,2,No,1,Yes,Yes,1
CUST_000100,25,22,106.18,2284.19,Month-to-month,DSL,Mailed check,2,Yes,0,Yes,Yes,1
CUST_000101,65,40,76.33,3001.27,Two year,Fiber optic,Electronic check,2,Yes,0,Yes,No,0
CUST_000102,29,40,49.46,1856.54,One year,Fiber optic,Credit card,4,No,0,No,No,0
CUST_000103,63,18,22.28,434.74,Two year,Fiber optic,Electronic check,2,No,0,No,No,0
CUST_000104,18,36,81.44,2994.95,Two year,DSL,Credit card,2,Yes,0,No,No,0
CUST_000105,63,8,102.55,786.27,One year,Fiber optic,Bank transfer,5,Yes,1,No,No,1
CUST_000106,62,47,65.05,3262.04,Month-to-month,Fiber optic,Bank transfer,2,No,0,Yes,No,0
CUST_000107,62,55,36.47,2027.06,Month-to-month,Fiber optic,Mailed check,1,Yes,0,Yes,Yes,0
CUST_000108,55,69,48.81,3331.04,Two year,DSL,Bank transfer,1,Yes,0,No,No,0
CUST_000109,44,24,71.0,1789.69,Two year,Fiber optic,Bank transfer,3,No,0,No,Yes,0
CUST_000110,58,21,103.67,2119.15,Month-to-month,No,Electronic check,2,No,0,Yes,No,1
CUST_000111,33,40,37.18,1577.31,Month-to-month,DSL,Credit card,0,No,0,Yes,Yes,0
CUST_000112,62,50,81.21,3657.94,Month-to-month,Fiber optic,Mailed check,6,No,0,No,No,0
CUST_000113,49,72,95.34,6515.91,Month-to-month,No,Mailed check,2,No,0,No,No,0
CUST_000114,44,2,113.6,228.58,Two year,No,Mailed check,3,No,0,No,No,1
CUST_000115,46,18,31.67,608.4,Month-to-month,DSL,Bank transfer,3,No,0,Yes,No,0
CUST_000116,50,19,112.64,2244.53,Month-to-month,Fiber optic,Mailed check,3,No,0,No,No,1
CUST_000117,20,19,80.15,1655.06,Two year,DSL,Mailed check,10,Yes,0,No,Yes,1
CUST_000118,25,34,96.67,3129.52,Month-to-month,No,Electronic check,3,No,0,Yes,No,1
CUST_000119,31,63,25.38,1734.07,Month-to-month,Fiber optic,Mailed check,3,Yes,0,Yes,Yes,0
CUST_000120,24,3,70.61,195.51,Month-to-month,Fiber optic,Electronic check,2,No,1,Yes,No,1
CUST_000121,43,59,82.26,4561.2,Month-to-month,DSL,Credit card,0,No,0,No,Yes,0
CUST_000122,56,45,50.68,2265.53,Month-to-month,Fiber optic,Electronic check,2,No,0,Yes,No,0
CUST_000123,55,45,63.17,2678.26,Month-to-month,DSL,Credit card,4,No,0,No,No,0
CUST_000124,44,49,75.43,3349.81,Month-to-month,Fiber optic,Bank transfer,1,No,0,No,Yes,0
CUST_000125,66,9,75.25,696.14,Month-to-month,Fiber optic,Bank transfer,1,No,0,No,No,1
CUST_000126,50,54,24.19,1282.13,Month-to-month,Fiber optic,Credit card,2,Yes,1,No,No,0
CUST_000127,22,18,63.95,1248.43,Month-to-month,No,Electronic check,4,No,0,Yes,No,0
CUST_000128,61,38,41.38,1724.58,Two year,DSL,Bank transfer,1,No,0,No,No,0
CUST_000129,50,49,111.67,5937.54,Month-to-month,DSL,Electronic check,0,No,0,No,No,0
CUST_000130,54,44,117.66,5193.84,Month-to-month,Fiber optic,Electronic check,2,No,0,Yes,No,1
CUST_000131,50,24,49.96,1153.03,Two year,Fiber optic,Mailed check,2,No,0,Yes,No,0
CUST_000132,49,29,37.52,1187.13,Month-to-month,DSL,Bank transfer,4,No,0,Yes,No,0
CUST_000133,23,35,41.95,1431.09,Month-to-month,Fiber optic,Credit card,1,No,0,No,Yes,0
CUST_000134,49,3,67.78,198.41,Two year,Fiber optic,Electronic check,3,No,0,Yes,No,0
CUST_000135,63,53,107.45,5848.69,One year,Fiber optic,Bank transfer,3,No,0,No,No,0
CUST_000136,35,8,70.0,575.03,Month-to-month,Fiber optic,Electronic check,2,No,0,No,Yes,1
CUST_000137,52,34,25.54,799.69,One year,DSL,Electronic check,1,No,0,Yes,Yes,0
CUST_000138,19,48,23.99,1080.49,One year,DSL,Electronic check,1,Yes,0,Yes,No,0
CUST_000139,37,6,42.74,230.8,Month-to-month,Fiber optic,Bank transfer,1,No,0,Yes,Yes,0
CUST_000140,42,72,104.28,6905.95,Month-to-month,Fiber optic,Mailed check,1,Yes,0,Yes,Yes,0
CUST_000141,74,28,82.15,2227.86,Month-to-month,Fiber optic,Electronic check,0,No,0,No,Yes,1
CUST_000142,30,2,76.3,166.29,Two year,No,Electronic check,2,Yes,0,Yes,No,0
CUST_000143,33,48,51.9,2640.35,Month-to-month,DSL,Bank transfer,5,No,0,Yes,Yes,0
CUST_000144,41,41,112.94,4378.45,Month-to-month,Fiber optic,Credit card,0,Yes,0,Yes,No,0
CUST_000145,74,47,53.12,2305.0,Month-to-month,Fiber optic,Electronic check,0,Yes,0,Yes,No,0
CUST_000146,66,55,103.49,6259.67,Two year,DSL,Bank transfer,2,No,0,No,No,0
CUST_000147,19,35,109.59,4004.57,Month-to-month,No,Bank transfer,6,No,0,Yes,Yes,1
CUST_000148,31,60,68.33,4118.92,Month-to-month,No,Mailed check,5,No,1,No,No,0
CUST_000149,64,27,109.43,3237.31,Month-to-month,DSL,Electronic check,2,No,0,No,Yes,1
CUST_000150,21,40,47.68,2080.42,One year,No,Credit card,3,Yes,1,No,No,0
CUST_000151,66,12,85.84,950.94,Month-to-month,DSL,Mailed check,1,No,0,Yes,Yes,0
CUST_000152,34,45,28.8,1331.25,Two year,No,Mailed check,3,No,0,Yes,Yes,0
CUST_000153,70,19,67.39,1329.05,Month-to-month,No,Credit card,0,No,0,Yes,Yes,0
CUST_000154,34,51,41.73,2283.0,Month-to-month,DSL,Credit card,3,Yes,0,Yes,No,0
CUST_000155,42,58,26.28,1523.82,Month-to-month,Fiber optic,Bank transfer,1,No,0,No,Yes,1
CUST_000156,55,62,20.37,1308.36,Month-to-month,Fiber optic,Credit card,0,No,1,No,Yes,0
CUST_000157,25,67,52.48,3413.9,Month-to-month,DSL,Electronic check,2,No,0,No,Yes,0
CUST_000158,49,9,78.95,696.51,One year,Fiber optic,Bank transfer,3,No,0,No,No,0
CUST_000159,46,10,65.52,663.49,Month-to-month,Fiber optic,Electronic check,2,Yes,0,Yes,No,0
CUST_000160,62,67,50.18,3169.82,One year,DSL,Credit card,1,Yes,0,Yes,No,0
CUST_000161,74,28,119.12,3530.32,Month-to-month,DSL,Mailed check,3,No,0,No,No,0
CUST_000162,55,2,113.95,227.79,One year,DSL,Electronic check,1,Yes,0,Yes,No,0
CUST_000163,41,21,32.57,732.03,Month-to-month,Fiber optic,Mailed check,2,No,0,Yes,Yes,0
CUST_000164,41,61,61.51,3967.39,Month-to-month,Fiber optic,Bank transfer,4,Yes,0,No,No,0
CUST_000165,41,26,84.88,2234.29,Month-to-month,Fiber optic,Mailed check,0,No,0,Yes,No,1
CUST_000166,64,6,93.35,581.13,Two year,DSL,Bank transfer,2,No,0,No,No,1
CUST_000167,36,52,56.64,3150.38,Two year,DSL,Electronic check,2,No,0,Yes,No,0
CUST_000168,27,15,94.63,1373.67,Two year,Fiber optic,Electronic check,0,Yes,0,No,No,0
CUST_000169,37,26,32.42,881.52,Two year,DSL,Bank transfer,1,Yes,0,Yes,No,0
CUST_000170,19,1,53.18,57.69,Month-to-month,Fiber optic,Mailed check,2,No,0,No,No,1
CUST_000171,24,44,91.64,3654.09,Month-to-month,Fiber optic,Bank transfer,2,No,0,Yes,No,0
CUST_000172,23,33,82.57,2724.44,Month-to-month,Fiber optic,Credit card,4,No,0,Yes,Yes,1
CUST_000173,61,63,103.72,6070.18,Two year,Fiber optic,Bank transfer,2,No,0,No,No,1
CUST_000174,59,25,24.69,603.11,Month-to-month,No,Mailed check,1,No,0,No,Yes,0
CUST_000175,57,15,37.44,598.53,Month-to-month,DSL,Mailed check,1,No,0,Yes,No,0
CUST_000176,44,12,24.85,280.25,One year,No,Credit card,2,No,0,Yes,Yes,0
CUST_000177,58,15,39.21,533.56,Month-to-month,DSL,Bank transfer,4,No,0,No,No,1
CUST_000178,27,33,20.43,645.14,One year,DSL,Credit card,1,No,0,No,No,0
CUST_000179,69,7,70.42,520.5,Month-to-month,Fiber optic,Electronic check,4,No,0,No,No,1
CUST_000180,46,29,72.83,1946.3,One year,DSL,Bank transfer,4,No,1,No,No,1
CUST_000181,71,62,85.79,5410.68,Two year,Fiber optic,Electronic check,9,No,1,Yes,No,1
CUST_000182,26,56,58.49,3434.33,One year,No,Bank transfer,3,Yes,0,No,No,0
CUST_000183,46,46,20.32,947.88,Month-to-month,Fiber optic,Credit card,2,No,0,No,No,0
CUST_000184,57,65,87.39,6174.38,Month-to-month,Fiber optic,Credit card,1,Yes,0,Yes,No,1
CUST_000185,46,57,25.43,1524.09,Month-to-month,No,Electronic check,2,Yes,0,Yes,No,0
CUST_000186,43,47,106.62,4598.26,Month-to-month,Fiber optic,Credit card,3,No,1,Yes,No,1
CUST_000187,27,63,22.27,1502.82,One year,DSL,Electronic check,5,No,0,No,No,0
CUST_000188,39,9,73.05,663.75,Month-to-month,No,Mailed check,3,No,0,No,No,1
CUST_000189,31,59,109.49,7064.16,Month-to-month,DSL,Bank transfer,4,No,0,No,Yes,0
CUST_000190,35,22,77.25,1864.43,Month-to-month,DSL,Mailed check,4,No,0,No,No,1
CUST_000191,56,53,80.84,3996.39,Two year,DSL,Electronic check,3,No,0,No,Yes,0
CUST_000192,53,66,88.16,5525.82,Month-to-month,DSL,Bank transfer,3,No,1,No,Yes,0
CUST_000193,52,36,32.24,1196.27,Month-to-month,DSL,Bank transfer,8,Yes,0,Yes,No,1
CUST_000194,38,7,87.49,558.01,Month-to-month,DSL,Bank transfer,2,Yes,0,Yes,Yes,1
CUST_000195,72,27,108.04,2859.31,Month-to-month,Fiber optic,Mailed check,4,Yes,0,No,No,1
CUST_000196,22,30,117.42,3866.7,Two year,Fiber optic,Bank transfer,2,No,0,No,No,0
CUST_000197,37,68,64.31,4395.76,Month-to-month,No,Mailed check,0,Yes,1,Yes,No,0
CUST_000198,24,68,54.45,3577.69,One year,DSL,Electronic check,2,No,0,Yes,No,0
CUST_000199,37,41,95.33,3662.83,One year,DSL,Mailed check,5,Yes,0,No,No,0
CUST_000200,72,69,74.29,5382.45,Two year,Fiber optic,Bank transfer,3,Yes,0,Yes,No,0
CUST_000201,38,32,45.73,1589.3,One year,DSL,Electronic check,5,No,0,No,No,0
CUST_000202,69,30,37.22,1211.38,One year,Fiber optic,Electronic check,1,Yes,0,No,No,0
CUST_000203,46,61,37.02,2061.81,Month-to-month,Fiber optic,Credit card,1,No,0,No,Yes,0
CUST_000204,57,49,65.92,2956.0,Month-to-month,Fiber optic,Credit card,1,No,1,No,No,0
CUST_000205,44,38,37.01,1544.38,One year,DSL,Bank transfer,0,No,0,Yes,Yes,0
CUST_000206,33,33,21.97,790.73,One year,Fiber optic,Bank transfer,3,No,0,No,Yes,0
CUST_000207,61,51,25.21,1213.57,Month-to-month,Fiber optic,Credit card,3,No,0,Yes,No,0
CUST_000208,73,55,112.99,5838.69,Month-to-month,No,Bank transfer,2,No,0,Yes,No,1
CUST_000209,33,36,27.3,1000.41,Month-to-month,DSL,Electronic check,4,Yes,0,No,No,0
CUST_000210,62,3,27.32,78.96,Month-to-month,Fiber optic,Bank transfer,1,Yes,0,No,No,0
CUST_000211,32,8,65.12,543.69,Month-to-month,Fiber optic,Credit card,4,No,0,No,No,0
CUST_000212,58,11,44.51,460.8,Month-to-month,DSL,Bank transfer,2,No,0,No,No,0
CUST_000213,62,34,116.27,4195.29,Month-to-month,Fiber optic,Electronic check,3,No,0,No,No,1
CUST_000214,43,45,111.1,4781.9,One year,Fiber optic,Credit card,1,No,0,No,No,1
CUST_000215,60,58,60.47,3254.15,One year,DSL,Bank transfer,1,No,0,Yes,No,0
CUST_000216,33,17,64.87,1067.98,One year,Fiber optic,Mailed check,1,Yes,0,Yes,Yes,0
CUST_000217,22,57,57.51,2963.23,One year,Fiber optic,Credit card,4,No,0,Yes,Yes,0
CUST_000218,23,48,23.79,1175.02,Month-to-month,Fiber optic,Bank transfer,1,No,1,No,Yes,0
CUST_000219,43,4,49.28,180.08,Month-to-month,DSL,Credit card,2,Yes,0,No,No,1
CUST_000220,69,26,32.27,779.88,One year,Fiber optic,Credit card,2,Yes,0,No,No,0
CUST_000221,25,22,30.24,704.32,Two year,DSL,Electronic check,1,No,0,Yes,No,0
CUST_000222,43,64,76.09,4875.21,One year,Fiber optic,Bank transfer,2,No,0,No,No,0
CUST_000223,58,67,29.88,2039.17,One year,Fiber optic,Mailed check,2,Yes,0,No,No,0
CUST_000224,29,59,30.29,1708.93,One year,Fiber optic,Credit card,2,No,1,Yes,No,0
CUST_000225,59,39,68.05,2904.61,One year,Fiber optic,Credit card,4,No,0,No,Yes,0
CUST_000226,35,36,64.23,2537.52,One year,DSL,Credit card,0,Yes,0,No,No,0
CUST_000227,64,23,33.76,755.61,One year,DSL,Bank transfer,4,No,1,Yes,No,0
CUST_000228,51,56,20.44,1210.55,Month-to-month,Fiber optic,Bank transfer,2,No,0,No,Yes,0
CUST_000229,49,7,39.3,291.73,Month-to-month,DSL,Electronic check,2,Yes,1,No,No,0
CUST_000230,28,20,43.59,943.93,Month-to-month,Fiber optic,Mailed check,2,No,1,Yes,No,0
CUST_000231,44,10,100.02,1072.55,Month-to-month,Fiber optic,Electronic check,5,No,0,Yes,Yes,1
CUST_000232,66,36,111.54,3966.8,One year,No,Credit card,4,No,1,Yes,Yes,0
CUST_000233,19,22,60.59,1295.91,Month-to-month,DSL,Bank transfer,6,Yes,0,No,No,1
CUST_000234,61,15,60.5,986.46,Month-to-month,Fiber optic,Bank transfer,4,No,0,Yes,No,0
CUST_000235,46,28,91.25,2508.02,One year,DSL,Electronic check,0,No,0,Yes,No,0
CUST_000236,59,62,82.69,5147.44,Month-to-month,No,Bank transfer,3,No,0,No,No,0
CUST_000237,55,41,38.41,1447.6,Two year,Fiber optic,Mailed check,2,No,0,Yes,No,1
CUST_000238,42,60,30.77,1770.16,Month-to-month,Fiber optic,Credit card,5,No,0,Yes,No,0
CUST_000239,35,66,63.76,3924.48,Month-to-month,Fiber optic,Credit card,1,No,0,No,No,1
CUST_000240,53,65,76.48,4555.96,Month-to-month,DSL,Mailed check,6,Yes,0,No,Yes,0
CUST_000241,25,26,33.87,857.86,Month-to-month,Fiber optic,Credit card,4,No,0,No,Yes,0
CUST_000242,51,64,49.33,3166.88,Month-to-month,No,Electronic check,4,No,0,Yes,No,0
CUST_000243,23,66,50.59,3525.46,Month-to-month,DSL,Electronic check,2,Yes,0,Yes,Yes,0
CUST_000244,55,70,46.13,3298.67,Month-to-month,No,Bank transfer,3,Yes,0,No,No,0
CUST_000245,53,26,66.08,1829.57,Month-to-month,No,Bank transfer,4,Yes,1,No,Yes,0
CUST_000246,22,17,85.31,1372.77,One year,No,Electronic check,1,Yes,0,No,Yes,1
CUST_000247,61,43,70.94,3230.44,Month-to-month,No,Electronic check,2,Yes,1,Yes,No,0
CUST_000248,41,68,40.15,2485.37,Month-to-month,DSL,Mailed check,3,Yes,0,No,Yes,0
CUST_000249,62,65,30.29,1881.11,Month-to-month,Fiber optic,Electronic check,6,No,0,No,Yes,0
CUST_000250,20,42,102.19,4243.68,Two year,DSL,Mailed check,3,No,0,No,No,0
CUST_000251,28,11,67.93,815.55,One year,Fiber optic,Mailed check,2,Yes,1,Yes,Yes,0
CUST_000252,46,31,26.21,746.0,Two year,DSL,Credit card,3,No,0,Yes,No,0
CUST_000253,28,52,45.81,2269.01,Two year,No,Electronic check,3,Yes,1,Yes,No,0
CUST_000254,36,41,100.4,3830.25,Month-to-month,DSL,Electronic check,1,No,0,No,Yes,0
CUST_000255,55,25,95.17,2343.7,One year,DSL,Electronic check,7,No,0,No,Yes,1
CUST_000256,26,25,107.58,2597.45,Month-to-month,DSL,Electronic check,2,No,1,Yes,Yes,0
CUST_000257,56,5,80.21,368.33,Two year,Fiber optic,Bank transfer,1,No,0,No,No,1
CUST_000258,23,21,62.29,1303.18,Month-to-month,DSL,Mailed check,4,No,0,No,No,0
CUST_000259,27,49,62.66,3061.46,Month-to-month,DSL,Electronic check,1,Yes,0,Yes,No,0
CUST_000260,51,18,39.4,727.67,Two year,DSL,Credit card,5,No,0,No,No,0
CUST_000261,63,72,85.08,6543.52,Two year,DSL,Bank transfer,1,Yes,0,Yes,No,0
CUST_000262,27,6,78.51,515.65,Two year,No,Electronic check,2,No,0,No,No,0
CUST_000263,35,43,35.49,1405.17,Month-to-month,Fiber optic,Electronic check,4,No,0,No,No,0
CUST_000264,70,36,108.57,3782.21,Month-to-month,DSL,Credit card,0,No,0,No,No,1
CUST_000265,74,60,56.85,3733.22,Month-to-month,DSL,Bank transfer,2,No,0,Yes,No,1
CUST_000266,51,64,24.97,1619.68,Month-to-month,DSL,Credit card,1,No,0,Yes,No,0
CUST_000267,43,40,52.79,2068.06,Month-to-month,Fiber optic,Electronic check,1,No,0,Yes,Yes,0
CUST_000268,37,46,106.99,4857.45,Month-to-month,DSL,Bank transfer,3,No,0,Yes,No,0
CUST_000269,52,51,111.7,6087.11,One year,DSL,Electronic check,4,No,0,No,No,1
CUST_000270,51,38,69.04,2814.38,Month-to-month,DSL,Electronic check,1,No,0,No,No,0
CUST_000271,34,14,115.63,1552.48,One year,DSL,Bank transfer,2,No,0,No,No,1
CUST_000272,19,31,107.52,3205.69,Two year,Fiber optic,Bank transfer,2,Yes,0,No,Yes,0
CUST_000273,26,18,102.52,1919.11,One year,DSL,Electronic check,4,No,0,Yes,No,1
CUST_000274,72,34,105.97,3291.35,Month-to-month,Fiber optic,Electronic check,3,No,0,Yes,No,0
CUST_000275,41,45,58.19,2799.74,Month-to-month,Fiber optic,Bank transfer,1,Yes,0,Yes,Yes,0
